Date,Product_ID,Product,Category,Store,City,Price,Discount,Promotion,Inventory,Sales
2023-01-26,P001,Laptop,Electronics,S01,Pune,57791,0,0,130,4
2023-01-27,P001,Laptop,Electronics,S01,Pune,57095,0,0,126,4
2023-01-28,P001,Laptop,Electronics,S01,Pune,56986,0,0,120,6
2023-01-29,P001,Laptop,Electronics,S01,Pune,51770,5,0,113,7
2023-01-30,P001,Laptop,Electronics,S01,Pune,54262,0,0,110,3
2023-01-31,P001,Laptop,Electronics,S01,Pune,58636,0,0,106,4
2023-02-01,P001,Laptop,Electronics,S01,Pune,50277,0,0,102,4
2023-02-02,P001,Laptop,Electronics,S01,Pune,48866,0,0,98,4
2023-02-03,P001,Laptop,Electronics,S01,Pune,49588,5,0,94,4
2023-02-04,P001,Laptop,Electronics,S01,Pune,48902,8,0,87,7
2023-02-05,P001,Laptop,Electronics,S01,Pune,46788,8,0,81,6
2023-02-06,P001,Laptop,Electronics,S01,Pune,54820,0,0,77,4
2023-02-07,P001,Laptop,Electronics,S01,Pune,57362,5,0,73,4
2023-02-08,P001,Laptop,Electronics,S01,Pune,53097,5,0,70,3
2023-02-09,P001,Laptop,Electronics,S01,Pune,50744,0,0,66,4
2023-02-10,P001,Laptop,Electronics,S01,Pune,55407,0,0,62,4
2023-02-11,P001,Laptop,Electronics,S01,Pune,57114,0,0,56,6
2023-02-12,P001,Laptop,Electronics,S01,Pune,50599,0,0,50,6
2023-02-13,P001,Laptop,Electronics,S01,Pune,54684,0,0,47,3
2023-02-14,P001,Laptop,Electronics,S01,Pune,51067,5,0,44,3
2023-02-15,P001,Laptop,Electronics,S01,Pune,51268,5,0,181,4
2023-02-16,P001,Laptop,Electronics,S01,Pune,51518,5,0,178,3
2023-02-17,P001,Laptop,Electronics,S01,Pune,58821,0,0,175,3
2023-02-18,P001,Laptop,Electronics,S01,Pune,47034,0,0,168,7
2023-02-19,P001,Laptop,Electronics,S01,Pune,51122,5,0,163,5
2023-02-20,P001,Laptop,Electronics,S01,Pune,53540,5,0,160,3
2023-02-21,P001,Laptop,Electronics,S01,Pune,52861,5,0,158,2
2023-02-22,P001,Laptop,Electronics,S01,Pune,52170,0,0,154,4
2023-02-23,P001,Laptop,Electronics,S01,Pune,52196,5,0,152,2
2023-02-24,P001,Laptop,Electronics,S01,Pune,51782,0,0,149,3
2023-02-25,P001,Laptop,Electronics,S01,Pune,55307,0,0,144,5
2023-02-26,P001,Laptop,Electronics,S01,Pune,50370,5,0,138,6
2023-02-27,P001,Laptop,Electronics,S01,Pune,56433,0,0,135,3
2023-02-28,P001,Laptop,Electronics,S01,Pune,53275,0,0,132,3
2023-03-01,P001,Laptop,Electronics,S01,Pune,56019,0,0,239,4
2023-03-02,P001,Laptop,Electronics,S01,Pune,52712,0,0,234,5
2023-03-03,P001,Laptop,Electronics,S01,Pune,48482,5,0,229,5
2023-03-04,P001,Laptop,Electronics,S01,Pune,54588,0,0,222,7
2023-03-05,P001,Laptop,Electronics,S01,Pune,54863,0,0,216,6
2023-03-06,P001,Laptop,Electronics,S01,Pune,42402,25,1,206,10
2023-03-07,P001,Laptop,Electronics,S01,Pune,55084,0,0,202,4
2023-03-08,P001,Laptop,Electronics,S01,Pune,52779,8,0,197,5
2023-03-09,P001,Laptop,Electronics,S01,Pune,49123,5,0,192,5
2023-03-10,P001,Laptop,Electronics,S01,Pune,57662,0,0,187,5
2023-03-11,P001,Laptop,Electronics,S01,Pune,50197,5,0,182,5
2023-03-12,P001,Laptop,Electronics,S01,Pune,51840,5,0,176,6
2023-03-13,P001,Laptop,Electronics,S01,Pune,54046,8,0,171,5
2023-03-14,P001,Laptop,Electronics,S01,Pune,58507,0,0,166,5
2023-03-15,P001,Laptop,Electronics,S01,Pune,50054,10,1,281,6
2023-03-16,P001,Laptop,Electronics,S01,Pune,57440,0,0,277,4
2023-03-17,P001,Laptop,Electronics,S01,Pune,50113,10,1,268,9
2023-03-18,P001,Laptop,Electronics,S01,Pune,50177,0,0,262,6
2023-03-19,P001,Laptop,Electronics,S01,Pune,55779,0,0,256,6
2023-03-20,P001,Laptop,Electronics,S01,Pune,48724,5,0,252,4
2023-03-21,P001,Laptop,Electronics,S01,Pune,56565,0,0,247,5
2023-03-22,P001,Laptop,Electronics,S01,Pune,51290,8,0,345,5
2023-03-23,P001,Laptop,Electronics,S01,Pune,54111,5,0,340,5
2023-03-24,P001,Laptop,Electronics,S01,Pune,49450,0,0,333,7
2023-03-25,P001,Laptop,Electronics,S01,Pune,49440,5,0,328,5
2023-03-26,P001,Laptop,Electronics,S01,Pune,42652,8,0,322,6
2023-03-27,P001,Laptop,Electronics,S01,Pune,54985,0,0,318,4
2023-03-28,P001,Laptop,Electronics,S01,Pune,53612,0,0,314,4
2023-03-29,P001,Laptop,Electronics,S01,Pune,46080,20,1,304,10
2023-03-30,P001,Laptop,Electronics,S01,Pune,56254,0,0,301,3
2023-03-31,P001,Laptop,Electronics,S01,Pune,61820,0,0,297,4
2023-04-01,P001,Laptop,Electronics,S01,Pune,56618,0,0,423,4
2023-04-02,P001,Laptop,Electronics,S01,Pune,55830,0,0,417,6
2023-04-03,P001,Laptop,Electronics,S01,Pune,55039,0,0,411,6
2023-04-04,P001,Laptop,Electronics,S01,Pune,54206,0,0,404,7
2023-04-05,P001,Laptop,Electronics,S01,Pune,51189,10,1,398,6
2023-04-06,P001,Laptop,Electronics,S01,Pune,51787,0,0,393,5
2023-04-07,P001,Laptop,Electronics,S01,Pune,49982,8,0,388,5
2023-04-08,P001,Laptop,Electronics,S01,Pune,53598,5,0,383,5
2023-04-09,P001,Laptop,Electronics,S01,Pune,52459,0,0,379,4
2023-04-10,P001,Laptop,Electronics,S01,Pune,50977,5,0,374,5
2023-04-11,P001,Laptop,Electronics,S01,Pune,51190,8,0,370,4
2023-04-12,P001,Laptop,Electronics,S01,Pune,51077,8,0,365,5
2023-04-13,P001,Laptop,Electronics,S01,Pune,49730,5,0,360,5
2023-04-14,P001,Laptop,Electronics,S01,Pune,55174,0,0,356,4
2023-04-15,P001,Laptop,Electronics,S01,Pune,56073,0,0,350,6
2023-04-16,P001,Laptop,Electronics,S01,Pune,43686,25,1,335,15
2023-04-17,P001,Laptop,Electronics,S01,Pune,50866,0,0,331,4
2023-04-18,P001,Laptop,Electronics,S01,Pune,50890,10,1,323,8
2023-04-19,P001,Laptop,Electronics,S01,Pune,56545,0,0,316,7
2023-04-20,P001,Laptop,Electronics,S01,Pune,56712,0,0,311,5
2023-04-21,P001,Laptop,Electronics,S01,Pune,57862,0,0,306,5
2023-04-22,P001,Laptop,Electronics,S01,Pune,54054,0,0,445,6
2023-04-23,P001,Laptop,Electronics,S01,Pune,57634,5,0,440,5
2023-04-24,P001,Laptop,Electronics,S01,Pune,52259,0,0,436,4
2023-04-25,P001,Laptop,Electronics,S01,Pune,51072,5,0,431,5
2023-04-26,P001,Laptop,Electronics,S01,Pune,46573,5,0,425,6
2023-04-27,P001,Laptop,Electronics,S01,Pune,50707,5,0,420,5
2023-04-28,P001,Laptop,Electronics,S01,Pune,54857,0,0,415,5
2023-04-29,P001,Laptop,Electronics,S01,Pune,48442,10,1,405,10
2023-04-30,P001,Laptop,Electronics,S01,Pune,50992,15,1,397,8
2023-05-01,P001,Laptop,Electronics,S01,Pune,54678,0,0,394,3
2023-05-02,P001,Laptop,Electronics,S01,Pune,59778,0,0,391,3
2023-05-03,P001,Laptop,Electronics,S01,Pune,52801,0,0,388,3
2023-05-04,P001,Laptop,Electronics,S01,Pune,51862,5,0,385,3
2023-05-05,P001,Laptop,Electronics,S01,Pune,53894,0,0,381,4
2023-05-06,P001,Laptop,Electronics,S01,Pune,51920,5,0,375,6
2023-05-07,P001,Laptop,Electronics,S01,Pune,54041,0,0,370,5
2023-05-08,P001,Laptop,Electronics,S01,Pune,55813,0,0,508,5
2023-05-09,P001,Laptop,Electronics,S01,Pune,61366,0,0,505,3
2023-05-10,P001,Laptop,Electronics,S01,Pune,50441,0,0,502,3
2023-05-11,P001,Laptop,Electronics,S01,Pune,58800,0,0,499,3
2023-05-12,P001,Laptop,Electronics,S01,Pune,53514,5,0,495,4
2023-05-13,P001,Laptop,Electronics,S01,Pune,49608,5,0,490,5
2023-05-14,P001,Laptop,Electronics,S01,Pune,45276,0,0,485,5
2023-05-15,P001,Laptop,Electronics,S01,Pune,40681,25,1,479,6
2023-05-16,P001,Laptop,Electronics,S01,Pune,47917,20,1,474,5
2023-05-17,P001,Laptop,Electronics,S01,Pune,50995,5,0,470,4
2023-05-18,P001,Laptop,Electronics,S01,Pune,54577,8,0,467,3
2023-05-19,P001,Laptop,Electronics,S01,Pune,55564,5,0,463,4
2023-05-20,P001,Laptop,Electronics,S01,Pune,52055,0,0,457,6
2023-05-21,P001,Laptop,Electronics,S01,Pune,47257,15,1,448,9
2023-05-22,P001,Laptop,Electronics,S01,Pune,52448,5,0,548,3
2023-05-23,P001,Laptop,Electronics,S01,Pune,57247,0,0,543,5
2023-05-24,P001,Laptop,Electronics,S01,Pune,44544,20,1,537,6
2023-05-25,P001,Laptop,Electronics,S01,Pune,56338,0,0,533,4
2023-05-26,P001,Laptop,Electronics,S01,Pune,56504,0,0,529,4
2023-05-27,P001,Laptop,Electronics,S01,Pune,52993,0,0,524,5
2023-05-28,P001,Laptop,Electronics,S01,Pune,50695,5,0,520,4
2023-05-29,P001,Laptop,Electronics,S01,Pune,55330,0,0,517,3
2023-05-30,P001,Laptop,Electronics,S01,Pune,58690,0,0,514,3
2023-05-31,P001,Laptop,Electronics,S01,Pune,59664,0,0,511,3
2023-06-01,P001,Laptop,Electronics,S01,Pune,51285,0,0,595,2
2023-06-02,P001,Laptop,Electronics,S01,Pune,53267,5,0,593,2
2023-06-03,P001,Laptop,Electronics,S01,Pune,57698,0,0,589,4
2023-06-04,P001,Laptop,Electronics,S01,Pune,57438,0,0,585,4
2023-06-05,P001,Laptop,Electronics,S01,Pune,52513,0,0,583,2
2023-06-06,P001,Laptop,Electronics,S01,Pune,57241,0,0,580,3
2023-06-07,P001,Laptop,Electronics,S01,Pune,50542,8,0,577,3
2023-06-08,P001,Laptop,Electronics,S01,Pune,58832,0,0,678,2
2023-06-09,P001,Laptop,Electronics,S01,Pune,52763,5,0,675,3
2023-06-10,P001,Laptop,Electronics,S01,Pune,57293,0,0,672,3
2023-06-11,P001,Laptop,Electronics,S01,Pune,49791,5,0,668,4
2023-06-12,P001,Laptop,Electronics,S01,Pune,54053,5,0,667,1
2023-06-13,P001,Laptop,Electronics,S01,Pune,45248,5,0,665,2
2023-06-14,P001,Laptop,Electronics,S01,Pune,53231,0,0,663,2
2023-06-15,P001,Laptop,Electronics,S01,Pune,51077,5,0,767,3
2023-06-16,P001,Laptop,Electronics,S01,Pune,57699,5,0,764,3
2023-06-17,P001,Laptop,Electronics,S01,Pune,38500,25,1,757,7
2023-06-18,P001,Laptop,Electronics,S01,Pune,55683,5,0,754,3
2023-06-19,P001,Laptop,Electronics,S01,Pune,57312,0,0,751,3
2023-06-20,P001,Laptop,Electronics,S01,Pune,52902,0,0,749,2
2023-06-21,P001,Laptop,Electronics,S01,Pune,46292,5,0,746,3
2023-06-22,P001,Laptop,Electronics,S01,Pune,45961,15,1,839,4
2023-06-23,P001,Laptop,Electronics,S01,Pune,44216,20,1,833,6
2023-06-24,P001,Laptop,Electronics,S01,Pune,54224,0,0,829,4
2023-06-25,P001,Laptop,Electronics,S01,Pune,50808,5,0,826,3
2023-06-26,P001,Laptop,Electronics,S01,Pune,47742,5,0,823,3
2023-06-27,P001,Laptop,Electronics,S01,Pune,55272,5,0,820,3
2023-06-28,P001,Laptop,Electronics,S01,Pune,54047,0,0,817,3
2023-06-29,P001,Laptop,Electronics,S01,Pune,52780,5,0,814,3
2023-06-30,P001,Laptop,Electronics,S01,Pune,58979,0,0,812,2
2023-07-01,P001,Laptop,Electronics,S01,Pune,45581,5,0,927,3
2023-07-02,P001,Laptop,Electronics,S01,Pune,54693,5,0,924,3
2023-07-03,P001,Laptop,Electronics,S01,Pune,52194,5,0,922,2
2023-07-04,P001,Laptop,Electronics,S01,Pune,52196,5,0,920,2
2023-07-05,P001,Laptop,Electronics,S01,Pune,51490,8,0,918,2
2023-07-06,P001,Laptop,Electronics,S01,Pune,52033,8,0,915,3
2023-07-07,P001,Laptop,Electronics,S01,Pune,54673,0,0,912,3
2023-07-08,P001,Laptop,Electronics,S01,Pune,54216,5,0,1026,3
2023-07-09,P001,Laptop,Electronics,S01,Pune,56122,5,0,1023,3
2023-07-10,P001,Laptop,Electronics,S01,Pune,46865,15,1,1019,4
2023-07-11,P001,Laptop,Electronics,S01,Pune,54197,0,0,1017,2
2023-07-12,P001,Laptop,Electronics,S01,Pune,57530,0,0,1015,2
2023-07-13,P001,Laptop,Electronics,S01,Pune,44959,15,1,1012,3
2023-07-14,P001,Laptop,Electronics,S01,Pune,59310,0,0,1010,2
2023-07-15,P001,Laptop,Electronics,S01,Pune,54570,0,0,1007,3
2023-07-16,P001,Laptop,Electronics,S01,Pune,51371,5,0,1004,3
2023-07-17,P001,Laptop,Electronics,S01,Pune,56388,0,0,1002,2
2023-07-18,P001,Laptop,Electronics,S01,Pune,50942,0,0,1000,2
2023-07-19,P001,Laptop,Electronics,S01,Pune,52605,0,0,998,2
2023-07-20,P001,Laptop,Electronics,S01,Pune,49706,8,0,996,2
2023-07-21,P001,Laptop,Electronics,S01,Pune,51155,15,1,993,3
2023-07-22,P001,Laptop,Electronics,S01,Pune,53061,0,0,1104,3
2023-07-23,P001,Laptop,Electronics,S01,Pune,54363,5,0,1100,4
2023-07-24,P001,Laptop,Electronics,S01,Pune,52532,8,0,1098,2
2023-07-25,P001,Laptop,Electronics,S01,Pune,52040,5,0,1096,2
2023-07-26,P001,Laptop,Electronics,S01,Pune,51415,8,0,1094,2
2023-07-27,P001,Laptop,Electronics,S01,Pune,51540,8,0,1092,2
2023-07-28,P001,Laptop,Electronics,S01,Pune,55826,0,0,1089,3
2023-07-29,P001,Laptop,Electronics,S01,Pune,45260,5,0,1086,3
2023-07-30,P001,Laptop,Electronics,S01,Pune,50300,8,0,1083,3
2023-07-31,P001,Laptop,Electronics,S01,Pune,52989,5,0,1080,3
2023-08-01,P001,Laptop,Electronics,S01,Pune,56570,5,0,1193,3
2023-08-02,P001,Laptop,Electronics,S01,Pune,53067,0,0,1190,3
2023-08-03,P001,Laptop,Electronics,S01,Pune,52781,0,0,1188,2
2023-08-04,P001,Laptop,Electronics,S01,Pune,52454,0,0,1186,2
2023-08-05,P001,Laptop,Electronics,S01,Pune,55999,0,0,1183,3
2023-08-06,P001,Laptop,Electronics,S01,Pune,42336,5,0,1180,3
2023-08-07,P001,Laptop,Electronics,S01,Pune,50773,5,0,1177,3
2023-08-08,P001,Laptop,Electronics,S01,Pune,39982,25,1,1271,8
2023-08-09,P001,Laptop,Electronics,S01,Pune,56936,0,0,1268,3
2023-08-10,P001,Laptop,Electronics,S01,Pune,49499,5,0,1265,3
2023-08-11,P001,Laptop,Electronics,S01,Pune,55266,5,0,1263,2
2023-08-12,P001,Laptop,Electronics,S01,Pune,48877,5,0,1261,2
2023-08-13,P001,Laptop,Electronics,S01,Pune,51481,5,0,1257,4
2023-08-14,P001,Laptop,Electronics,S01,Pune,59507,0,0,1254,3
2023-08-15,P001,Laptop,Electronics,S01,Pune,56890,5,0,1382,2
2023-08-16,P001,Laptop,Electronics,S01,Pune,46324,20,1,1376,6
2023-08-17,P001,Laptop,Electronics,S01,Pune,55704,5,0,1374,2
2023-08-18,P001,Laptop,Electronics,S01,Pune,50953,8,0,1372,2
2023-08-19,P001,Laptop,Electronics,S01,Pune,51555,0,0,1369,3
2023-08-20,P001,Laptop,Electronics,S01,Pune,49542,0,0,1365,4
2023-08-21,P001,Laptop,Electronics,S01,Pune,38500,25,1,1358,7
2023-08-22,P001,Laptop,Electronics,S01,Pune,45730,8,0,1450,3
2023-08-23,P001,Laptop,Electronics,S01,Pune,49111,5,0,1447,3
2023-08-24,P001,Laptop,Electronics,S01,Pune,54379,5,0,1445,2
2023-08-25,P001,Laptop,Electronics,S01,Pune,58106,5,0,1443,2
2023-08-26,P001,Laptop,Electronics,S01,Pune,50976,5,0,1440,3
2023-08-27,P001,Laptop,Electronics,S01,Pune,52553,0,0,1437,3
2023-08-28,P001,Laptop,Electronics,S01,Pune,50697,0,0,1435,2
2023-08-29,P001,Laptop,Electronics,S01,Pune,52413,5,0,1434,1
2023-08-30,P001,Laptop,Electronics,S01,Pune,54694,0,0,1431,3
2023-08-31,P001,Laptop,Electronics,S01,Pune,56543,0,0,1428,3
2023-09-01,P001,Laptop,Electronics,S01,Pune,57554,0,0,1556,3
2023-09-02,P001,Laptop,Electronics,S01,Pune,45354,15,1,1548,8
2023-09-03,P001,Laptop,Electronics,S01,Pune,57152,8,0,1543,5
2023-09-04,P001,Laptop,Electronics,S01,Pune,53120,0,0,1541,2
2023-09-05,P001,Laptop,Electronics,S01,Pune,54676,5,0,1538,3
2023-09-06,P001,Laptop,Electronics,S01,Pune,55085,0,0,1534,4
2023-09-07,P001,Laptop,Electronics,S01,Pune,52083,0,0,1530,4
2023-09-08,P001,Laptop,Electronics,S01,Pune,59571,0,0,1528,2
2023-09-09,P001,Laptop,Electronics,S01,Pune,52568,0,0,1523,5
2023-09-10,P001,Laptop,Electronics,S01,Pune,51717,5,0,1518,5
2023-09-11,P001,Laptop,Electronics,S01,Pune,51816,0,0,1515,3
2023-09-12,P001,Laptop,Electronics,S01,Pune,44778,15,1,1509,6
2023-09-13,P001,Laptop,Electronics,S01,Pune,52871,5,0,1505,4
2023-09-14,P001,Laptop,Electronics,S01,Pune,58165,0,0,1501,4
2023-09-15,P001,Laptop,Electronics,S01,Pune,52378,0,0,1611,3
2023-09-16,P001,Laptop,Electronics,S01,Pune,58190,5,0,1604,7
2023-09-17,P001,Laptop,Electronics,S01,Pune,39181,20,1,1589,15
2023-09-18,P001,Laptop,Electronics,S01,Pune,42850,25,1,1582,7
2023-09-19,P001,Laptop,Electronics,S01,Pune,50754,0,0,1578,4
2023-09-20,P001,Laptop,Electronics,S01,Pune,46323,5,0,1575,3
2023-09-21,P001,Laptop,Electronics,S01,Pune,48896,8,0,1572,3
2023-09-22,P001,Laptop,Electronics,S01,Pune,55637,5,0,1710,3
2023-09-23,P001,Laptop,Electronics,S01,Pune,49888,5,0,1705,5
2023-09-24,P001,Laptop,Electronics,S01,Pune,43691,8,0,1698,7
2023-09-25,P001,Laptop,Electronics,S01,Pune,53361,5,0,1695,3
2023-09-26,P001,Laptop,Electronics,S01,Pune,55711,0,0,1691,4
2023-09-27,P001,Laptop,Electronics,S01,Pune,52827,0,0,1688,3
2023-09-28,P001,Laptop,Electronics,S01,Pune,52057,8,0,1684,4
2023-09-29,P001,Laptop,Electronics,S01,Pune,56238,8,0,1680,4
2023-09-30,P001,Laptop,Electronics,S01,Pune,54909,5,0,1675,5
2023-10-01,P001,Laptop,Electronics,S01,Pune,49041,8,0,1670,5
2023-10-02,P001,Laptop,Electronics,S01,Pune,55839,0,0,1668,2
2023-10-03,P001,Laptop,Electronics,S01,Pune,50942,5,0,1665,3
2023-10-04,P001,Laptop,Electronics,S01,Pune,47905,5,0,1661,4
2023-10-05,P001,Laptop,Electronics,S01,Pune,51582,0,0,1657,4
2023-10-06,P001,Laptop,Electronics,S01,Pune,47513,25,1,1651,6
2023-10-07,P001,Laptop,Electronics,S01,Pune,54554,0,0,1646,5
2023-10-08,P001,Laptop,Electronics,S01,Pune,48938,8,0,1735,7
2023-10-09,P001,Laptop,Electronics,S01,Pune,43827,20,1,1730,5
2023-10-10,P001,Laptop,Electronics,S01,Pune,58865,0,0,1726,4
2023-10-11,P001,Laptop,Electronics,S01,Pune,50654,5,0,1722,4
2023-10-12,P001,Laptop,Electronics,S01,Pune,50800,5,0,1719,3
2023-10-13,P001,Laptop,Electronics,S01,Pune,52772,5,0,1715,4
2023-10-14,P001,Laptop,Electronics,S01,Pune,52067,8,0,1709,6
2023-10-15,P001,Laptop,Electronics,S01,Pune,53720,5,0,1819,6
2023-10-16,P001,Laptop,Electronics,S01,Pune,53798,5,0,1815,4
2023-10-17,P001,Laptop,Electronics,S01,Pune,48375,0,0,1811,4
2023-10-18,P001,Laptop,Electronics,S01,Pune,49853,8,0,1807,4
2023-10-19,P001,Laptop,Electronics,S01,Pune,51536,5,0,1803,4
2023-10-20,P001,Laptop,Electronics,S01,Pune,52970,0,0,1801,2
2023-10-21,P001,Laptop,Electronics,S01,Pune,55246,5,0,1796,5
2023-10-22,P001,Laptop,Electronics,S01,Pune,50259,0,0,1790,6
2023-10-23,P001,Laptop,Electronics,S01,Pune,54282,0,0,1786,4
2023-10-24,P001,Laptop,Electronics,S01,Pune,54793,5,0,1782,4
2023-10-25,P001,Laptop,Electronics,S01,Pune,52345,0,0,1778,4
2023-10-26,P001,Laptop,Electronics,S01,Pune,51055,8,0,1774,4
2023-10-27,P001,Laptop,Electronics,S01,Pune,52375,0,0,1771,3
2023-10-28,P001,Laptop,Electronics,S01,Pune,52005,8,0,1764,7
2023-10-29,P001,Laptop,Electronics,S01,Pune,55002,5,0,1758,6
2023-10-30,P001,Laptop,Electronics,S01,Pune,53537,0,0,1754,4
2023-10-31,P001,Laptop,Electronics,S01,Pune,47587,8,0,1751,3
2023-11-01,P001,Laptop,Electronics,S01,Pune,59529,0,0,1861,7
2023-11-02,P001,Laptop,Electronics,S01,Pune,43438,10,1,1847,14
2023-11-03,P001,Laptop,Electronics,S01,Pune,58682,5,0,1841,6
2023-11-04,P001,Laptop,Electronics,S01,Pune,54844,15,1,1826,15
2023-11-05,P001,Laptop,Electronics,S01,Pune,44916,5,0,1817,9
2023-11-06,P001,Laptop,Electronics,S01,Pune,58991,0,0,1808,9
2023-11-07,P001,Laptop,Electronics,S01,Pune,54296,5,0,1800,8
2023-11-08,P001,Laptop,Electronics,S01,Pune,47348,8,0,1895,7
2023-11-09,P001,Laptop,Electronics,S01,Pune,54114,5,0,1889,6
2023-11-10,P001,Laptop,Electronics,S01,Pune,55839,0,0,1884,5
2023-11-11,P001,Laptop,Electronics,S01,Pune,62337,0,0,1877,7
2023-11-12,P001,Laptop,Electronics,S01,Pune,55328,0,0,1868,9
2023-11-13,P001,Laptop,Electronics,S01,Pune,53620,5,0,1861,7
2023-11-14,P001,Laptop,Electronics,S01,Pune,52628,0,0,1854,7
2023-11-15,P001,Laptop,Electronics,S01,Pune,60646,0,0,1978,6
2023-11-16,P001,Laptop,Electronics,S01,Pune,51106,8,0,1971,7
2023-11-17,P001,Laptop,Electronics,S01,Pune,54729,0,0,1964,7
2023-11-18,P001,Laptop,Electronics,S01,Pune,59485,5,0,1955,9
2023-11-19,P001,Laptop,Electronics,S01,Pune,48976,8,0,1946,9
2023-11-20,P001,Laptop,Electronics,S01,Pune,49480,15,1,1935,11
2023-11-21,P001,Laptop,Electronics,S01,Pune,57556,0,0,1931,4
2023-11-22,P001,Laptop,Electronics,S01,Pune,54310,0,0,2037,7
2023-11-23,P001,Laptop,Electronics,S01,Pune,55484,0,0,2030,7
2023-11-24,P001,Laptop,Electronics,S01,Pune,47952,15,1,2020,10
2023-11-25,P001,Laptop,Electronics,S01,Pune,55210,5,0,2012,8
2023-11-26,P001,Laptop,Electronics,S01,Pune,48096,8,0,2004,8
2023-11-27,P001,Laptop,Electronics,S01,Pune,52473,5,0,1999,5
2023-11-28,P001,Laptop,Electronics,S01,Pune,50496,8,0,1992,7
2023-11-29,P001,Laptop,Electronics,S01,Pune,58321,0,0,1985,7
2023-11-30,P001,Laptop,Electronics,S01,Pune,48431,5,0,1977,8
2023-12-01,P001,Laptop,Electronics,S01,Pune,51819,0,0,2102,5
2023-12-02,P001,Laptop,Electronics,S01,Pune,55594,0,0,2094,8
2023-12-03,P001,Laptop,Electronics,S01,Pune,50615,5,0,2086,8
2023-12-04,P001,Laptop,Electronics,S01,Pune,54901,0,0,2080,6
2023-12-05,P001,Laptop,Electronics,S01,Pune,48632,8,0,2072,8
2023-12-06,P001,Laptop,Electronics,S01,Pune,54235,0,0,2064,8
2023-12-07,P001,Laptop,Electronics,S01,Pune,44694,5,0,2055,9
2023-12-08,P001,Laptop,Electronics,S01,Pune,54038,8,0,2051,4
2023-12-09,P001,Laptop,Electronics,S01,Pune,51272,5,0,2043,8
2023-12-10,P001,Laptop,Electronics,S01,Pune,50777,0,0,2036,7
2023-12-11,P001,Laptop,Electronics,S01,Pune,49084,5,0,2026,10
2023-12-12,P001,Laptop,Electronics,S01,Pune,53182,8,0,2018,8
2023-12-13,P001,Laptop,Electronics,S01,Pune,54306,5,0,2013,5
2023-12-14,P001,Laptop,Electronics,S01,Pune,53426,0,0,2006,7
2023-12-15,P001,Laptop,Electronics,S01,Pune,48766,5,0,2111,8
2023-12-16,P001,Laptop,Electronics,S01,Pune,55811,5,0,2102,9
2023-12-17,P001,Laptop,Electronics,S01,Pune,54172,0,0,2095,7
2023-12-18,P001,Laptop,Electronics,S01,Pune,48933,8,0,2088,7
2023-12-19,P001,Laptop,Electronics,S01,Pune,59089,0,0,2081,7
2023-12-20,P001,Laptop,Electronics,S01,Pune,51510,8,0,2074,7
2023-12-21,P001,Laptop,Electronics,S01,Pune,56582,0,0,2067,7
2023-12-22,P001,Laptop,Electronics,S01,Pune,50504,0,0,2059,8
2023-12-23,P001,Laptop,Electronics,S01,Pune,49334,8,0,2048,11
2023-12-24,P001,Laptop,Electronics,S01,Pune,58555,0,0,2040,8
2023-12-25,P001,Laptop,Electronics,S01,Pune,54956,5,0,2034,6
2023-12-26,P001,Laptop,Electronics,S01,Pune,51237,5,0,2027,7
2023-12-27,P001,Laptop,Electronics,S01,Pune,50267,10,1,2016,11
